image,class_id,class_name,xmin,ymin,xmax,ymax,score
anonymous-frontalView-1727270503644.jpg,0,0,1124,265,1225,500,
anonymous-leftLateralView-1727765301033.jpg,0,0,275,350,552,705,
anonymous-mandibularView-1726732189448.jpg,0,0,1746,750,2150,1017,
anonymous-mandibularView-1726732189448.jpg,0,0,1899,588,2274,880,
anonymous-mandibularView-1726917861644.jpg,0,0,74,131,396,408,
anonymous-mandibularView-1726917861644.jpg,0,0,210,320,478,595,
anonymous-mandibularView-1726917861644.jpg,0,0,1359,53,1601,299,
anonymous-mandibularView-1726917861644.jpg,0,0,1351,247,1571,443,
anonymous-mandibularView-1727096592972.jpg,0,0,1466,246,1803,564,
anonymous-mandibularView-1727270866811.jpg,0,0,75,135,282,297,
anonymous-mandibularView-1727270866811.jpg,0,0,45,285,307,449,
anonymous-mandibularView-1727270866811.jpg,0,0,55,423,361,625,
anonymous-mandibularView-1727270866811.jpg,0,0,151,569,341,697,
anonymous-mandibularView-1727270866811.jpg,0,0,1187,234,1372,424,
anonymous-mandibularView-1727270866811.jpg,0,0,1138,397,1367,595,
anonymous-mandibularView-1727270866811.jpg,0,0,1047,503,1303,743,
anonymous-mandibularView-1727270866811.jpg,0,0,988,617,1176,813,
anonymous-mandibularView-1727327225213.jpg,0,0,117,584,606,1005,
anonymous-mandibularView-1727327225213.jpg,0,0,1871,726,2324,1145,
anonymous-mandibularView-1727327225213.jpg,0,0,1996,450,2364,798,
anonymous-mandibularView-1727327225213.jpg,0,0,1861,1015,2206,1329,
anonymous-mandibularView-1727337671692.jpg,0,0,75,177,398,463,
anonymous-mandibularView-1727337671692.jpg,0,0,108,366,443,661,
anonymous-mandibularView-1727337671692.jpg,0,0,1472,148,1783,409,
anonymous-mandibularView-1727337671692.jpg,0,0,1354,348,1707,619,
anonymous-mandibularView-1727337671692.jpg,0,0,167,558,437,732,
anonymous-mandibularView-1727348556215.jpg,0,0,92,343,275,517,
anonymous-mandibularView-1727348556215.jpg,0,0,132,465,348,629,
anonymous-mandibularView-1727348556215.jpg,0,0,214,580,369,703,
anonymous-mandibularView-1727348556215.jpg,0,0,1071,269,1234,416,
anonymous-mandibularView-1727348556215.jpg,0,0,1003,378,1210,533,
