image,class_id,class_name,xmin,ymin,xmax,ymax,score
005ba0eb-58.jpg,0,0,315,583,505,717,
005ba0eb-58.jpg,3,3,421,368,698,660,
005ba0eb-58.jpg,2,2,714,413,921,674,
005ba0eb-58.jpg,0,0,513,644,779,800,
005ba0eb-58.jpg,0,0,792,645,1048,883,
005ba0eb-58.jpg,1,1,926,408,1169,693,
005ba0eb-58.jpg,1,1,1063,610,1286,851,
005ba0eb-58.jpg,1,1,1168,374,1439,652,
005ba0eb-58.jpg,1,1,1289,588,1498,852,
005ba0eb-58.jpg,1,1,1432,344,1660,632,
005ba0eb-58.jpg,1,1,1501,594,1665,841,
005ba0eb-58.jpg,0,0,1666,580,1802,808,
005ba0eb-58.jpg,1,1,1654,315,1840,597,
005ba0eb-58.jpg,1,1,1846,327,1966,615,
005ba0eb-58.jpg,0,0,1808,589,1947,784,
005ba0eb-58.jpg,0,0,1960,341,1991,561,
005ba0eb-58.jpg,0,0,339,483,422,562,
024be0a0-237.jpg,1,1,290,495,376,669,
024be0a0-237.jpg,1,1,363,499,478,672,
024be0a0-237.jpg,1,1,288,648,398,747,
024be0a0-237.jpg,1,1,395,658,484,781,
024be0a0-237.jpg,1,1,464,486,621,709,
024be0a0-237.jpg,1,1,468,672,591,819,
024be0a0-237.jpg,1,1,604,459,777,704,
024be0a0-237.jpg,1,1,760,444,997,706,
024be0a0-237.jpg,1,1,993,427,1236,709,
024be0a0-237.jpg,0,0,589,680,736,854,
024be0a0-237.jpg,0,0,739,687,870,809,
024be0a0-237.jpg,1,1,875,690,1004,811,
024be0a0-237.jpg,1,1,1002,685,1149,859,
024be0a0-237.jpg,1,1,1158,677,1292,859,
024be0a0-237.jpg,1,1,1231,438,1407,685,
024be0a0-237.jpg,0,0,1289,632,1456,865,
024be0a0-237.jpg,1,1,1408,425,1549,672,
024be0a0-237.jpg,1,1,1451,645,1574,851,
024be0a0-237.jpg,1,1,1533,470,1668,664,
024be0a0-237.jpg,1,1,1556,652,1655,790,
024be0a0-237.jpg,1,1,1647,487,1721,647,
024be0a0-237.jpg,1,1,1721,486,1808,626,
024be0a0-237.jpg,1,1,1662,615,1786,789,
03e5a7c5-115.jpg,0,0,806,441,980,686,
03e5a7c5-115.jpg,0,0,671,480,843,699,
03e5a7c5-115.jpg,1,1,545,467,690,692,
03e5a7c5-115.jpg,0,0,980,464,1163,694,
03e5a7c5-115.jpg,0,0,1161,459,1324,692,
03e5a7c5-115.jpg,0,0,1306,485,1451,699,
03e5a7c5-115.jpg,0,0,770,671,891,829,
03e5a7c5-115.jpg,0,0,659,694,788,889,
03e5a7c5-115.jpg,0,0,876,681,990,831,
03e5a7c5-115.jpg,0,0,985,689,1109,834,
03e5a7c5-115.jpg,0,0,1111,655,1228,837,
03e5a7c5-115.jpg,0,0,1225,682,1349,873,
03e5a7c5-115.jpg,0,0,575,684,677,814,
03e5a7c5-115.jpg,0,0,519,694,589,775,
03e5a7c5-115.jpg,0,0,359,515,426,594,
03e5a7c5-115.jpg,3,3,369,633,470,720,
03e5a7c5-115.jpg,0,0,423,532,461,651,
03e5a7c5-115.jpg,0,0,461,524,519,671,
03e5a7c5-115.jpg,0,0,518,537,552,668,
03e5a7c5-115.jpg,0,0,472,687,535,748,
03e5a7c5-115.jpg,0,0,1431,557,1506,697,
03e5a7c5-115.jpg,1,1,1496,562,1588,699,
03e5a7c5-115.jpg,0,0,1351,694,1449,858,
03e5a7c5-115.jpg,0,0,1444,687,1531,814,
03e5a7c5-115.jpg,0,0,1568,554,1655,692,
03e5a7c5-115.jpg,0,0,1641,528,1718,651,
03e5a7c5-115.jpg,0,0,1606,658,1707,738,
03e5a7c5-115.jpg,0,0,1531,689,1632,785,
03fde12b-182.jpg,0,0,126,535,186,749,
03fde12b-182.jpg,0,0,186,532,237,763,
03fde12b-182.jpg,0,0,220,518,411,797,
03fde12b-182.jpg,0,0,411,497,669,792,
03fde12b-182.jpg,0,0,658,569,865,782,
03fde12b-182.jpg,0,0,856,464,1104,726,
03fde12b-182.jpg,1,1,1094,477,1280,708,
03fde12b-182.jpg,0,0,1248,553,1386,696,
03fde12b-182.jpg,1,1,1364,518,1571,664,
03fde12b-182.jpg,3,3,1279,627,1512,776,
03fde12b-182.jpg,0,0,231,774,280,836,
03fde12b-182.jpg,0,0,280,791,350,874,
03fde12b-182.jpg,0,0,375,770,486,872,
03fde12b-182.jpg,0,0,542,749,657,864,
03fde12b-182.jpg,0,0,697,699,872,882,
03fde12b-182.jpg,0,0,872,672,1092,849,
03fde12b-182.jpg,0,0,1095,676,1286,805,
03fde12b-182.jpg,2,2,1568,450,1696,590,
03fde12b-182.jpg,2,2,1513,579,1691,685,
04da7e02-166.jpg,6,6,440,863,715,1077,
