image,class_id,class_name,xmin,ymin,xmax,ymax,score
1.jpg,3,3,741,298,1061,636,
1.jpg,1,1,496,348,755,625,
1.jpg,2,2,314,286,508,598,
1.jpg,2,2,176,288,334,540,
1.jpg,1,1,1054,279,1364,623,
1.jpg,1,1,1367,335,1587,608,
1.jpg,2,2,1591,292,1767,597,
1.jpg,2,2,1761,323,1863,560,
1.jpg,1,1,1766,552,1851,728,
1.jpg,2,2,1598,567,1766,795,
1.jpg,2,2,1437,583,1632,833,
1.jpg,0,0,1258,605,1429,857,
1.jpg,0,0,1051,608,1222,871,
1.jpg,0,0,860,632,1037,886,
1.jpg,0,0,660,613,860,836,
1.jpg,2,2,498,598,651,821,
1.jpg,2,2,279,571,485,803,
1.jpg,1,1,202,549,288,687,
1.jpg,2,2,96,474,201,641,
1.jpg,0,0,22,255,117,520,
10.jpg,0,0,993,499,1223,835,
10.jpg,0,0,720,480,960,783,
10.jpg,2,2,470,445,720,749,
10.jpg,2,2,332,499,498,731,
10.jpg,0,0,252,551,348,710,
10.jpg,0,0,135,527,285,710,
10.jpg,0,0,31,526,140,681,
10.jpg,2,2,67,687,175,823,
10.jpg,2,2,190,700,319,843,
10.jpg,2,2,313,705,466,883,
10.jpg,2,2,472,698,622,838,
10.jpg,2,2,625,662,764,852,
10.jpg,0,0,1241,490,1391,737,
10.jpg,2,2,1360,605,1485,824,
10.jpg,2,2,1393,431,1626,710,
10.jpg,2,2,1623,437,1737,666,
10.jpg,2,2,1732,462,1840,613,
10.jpg,0,0,1832,433,1925,589,
10.jpg,2,2,1504,676,1707,843,
10.jpg,2,2,1690,614,1813,802,
10.jpg,2,2,1790,603,1920,744,
10.jpg,0,0,1905,566,1999,691,
100.jpg,3,3,89,47,462,395,
100.jpg,3,3,224,387,497,623,
100.jpg,2,2,330,631,555,822,
100.jpg,1,1,482,795,683,1000,
100.jpg,1,1,636,926,824,1045,
100.jpg,0,0,831,924,1000,1086,
100.jpg,0,0,1003,916,1171,1045,
100.jpg,0,0,1169,891,1359,1028,
100.jpg,0,0,1362,779,1548,955,
100.jpg,2,2,1536,667,1731,850,
100.jpg,3,3,1475,357,1794,677,
100.jpg,3,3,1565,55,1941,386,
102.jpg,2,2,467,623,574,735,
102.jpg,1,1,561,643,644,753,
102.jpg,1,1,605,613,714,748,
102.jpg,1,1,703,603,806,757,
102.jpg,0,0,805,598,934,749,
102.jpg,0,0,934,536,1127,731,
102.jpg,0,0,1156,504,1338,704,
102.jpg,0,0,1350,547,1489,718,
102.jpg,1,1,1482,595,1564,748,
102.jpg,1,1,1557,616,1632,750,
102.jpg,1,1,1611,646,1670,760,
102.jpg,3,3,1657,654,1725,755,
102.jpg,2,2,531,739,647,814,
102.jpg,1,1,645,740,706,839,
102.jpg,1,1,696,740,796,848,
102.jpg,1,1,799,740,903,818,
102.jpg,1,1,918,708,1028,812,
102.jpg,0,0,1034,651,1166,790,
102.jpg,0,0,1167,696,1287,796,
102.jpg,0,0,1293,692,1395,781,
102.jpg,1,1,1405,712,1489,859,
102.jpg,1,1,1489,740,1558,835,
102.jpg,2,2,1558,746,1673,842,
103.jpg,2,2,392,593,493,691,
103.jpg,2,2,469,605,544,707,
103.jpg,1,1,508,572,606,695,
103.jpg,1,1,589,562,693,707,
103.jpg,1,1,686,551,809,699,
103.jpg,0,0,809,499,992,671,
103.jpg,0,0,1016,485,1190,653,
103.jpg,0,0,1192,520,1329,671,
103.jpg,1,1,1318,561,1401,707,
103.jpg,1,1,1385,581,1477,704,
103.jpg,1,1,1456,619,1511,722,
103.jpg,2,2,1501,622,1573,712,
103.jpg,2,2,393,684,473,760,
103.jpg,2,2,453,695,560,787,
103.jpg,1,1,544,691,609,791,
103.jpg,1,1,590,694,686,797,
103.jpg,2,2,680,687,774,767,
103.jpg,2,2,786,667,896,766,
103.jpg,0,0,909,602,1022,748,
103.jpg,0,0,1027,640,1135,749,
103.jpg,0,0,1143,637,1245,746,
103.jpg,1,1,1247,674,1337,811,
103.jpg,0,0,1337,704,1406,797,
