set_baseline,split,group,count_baseline,pct_in_split_baseline,split_total_baseline,set_current,count_current,pct_in_split_current,split_total_current,set,count_matched,pct_in_split_matched,split_total_matched,delta_current_vs_baseline,delta_matched_vs_baseline,delta_pp_current_vs_baseline,delta_pp_matched_vs_baseline
baseline,train,0,1686,0.447808764940239,3765,current,1712,0.4164436876672343,4111,matched,1708,0.4142614601018676,4123,26,22,-3.136507727300475,-3.354730483837143
baseline,train,A,1720,0.45683930942895085,3765,current,1886,0.45876915592313305,4111,matched,1895,0.4596167838952219,4123,166,175,0.1929846494182208,0.27774744662710793
baseline,train,B,286,0.07596281540504649,3765,current,353,0.0858671855996108,4111,matched,353,0.08561726897889886,4123,67,67,0.9904370194564318,0.9654453573852375
baseline,train,C,73,0.019389110225763614,3765,current,160,0.038919970810021895,4111,matched,167,0.04050448702401164,4123,87,94,1.953086058425828,2.1115376798248024
baseline,val,0,162,0.4,405,current,162,0.36160714285714285,448,matched,164,0.36771300448430494,446,0,2,-3.839285714285717,-3.228699551569508
baseline,val,A,205,0.5061728395061729,405,current,229,0.5111607142857143,448,matched,225,0.5044843049327354,446,24,20,0.49878747795414347,-0.1688534573437428
baseline,val,B,29,0.07160493827160494,405,current,38,0.08482142857142858,448,matched,36,0.08071748878923767,446,9,7,1.3216490299823636,0.9112550517632725
baseline,val,C,9,0.022222222222222223,405,current,19,0.04241071428571429,448,matched,21,0.04708520179372197,446,10,12,2.0188492063492065,2.486297957149975
baseline,test,0,134,0.2815126050420168,476,current,134,0.2523540489642185,531,matched,136,0.26103646833013433,521,0,2,-2.9158556077798323,-2.0476136711882473
baseline,test,A,282,0.592436974789916,476,current,315,0.5932203389830508,531,matched,310,0.5950095969289827,521,33,28,0.078336419313485,0.2572622139066727
baseline,test,B,59,0.12394957983193278,476,current,71,0.1337099811676083,531,matched,73,0.1401151631477927,521,12,14,0.9760401335675517,1.6165583315859933
baseline,test,C,1,0.0021008403361344537,476,current,11,0.02071563088512241,531,matched,2,0.003838771593090211,521,10,1,1.8614790548987958,0.17379312569557573
baseline,total,0,1982,0.4266035299182092,4646,current,2008,0.3944990176817289,5090,matched,2008,0.3944990176817289,5090,26,26,-3.2104512236480307,-3.2104512236480307
baseline,total,A,2207,0.47503228583727936,4646,current,2430,0.4774066797642436,5090,matched,2430,0.4774066797642436,5090,223,223,0.23743939269642578,0.23743939269642578
baseline,total,B,374,0.08049935428325442,4646,current,462,0.09076620825147348,5090,matched,462,0.09076620825147348,5090,88,88,1.0266853968219067,1.0266853968219067
baseline,total,C,83,0.017864829961256996,4646,current,190,0.03732809430255403,5090,matched,190,0.03732809430255403,5090,107,107,1.9463264341297033,1.9463264341297033
