set_baseline,split,group,count_baseline,pct_in_split_baseline,split_total_baseline,set_current,count_current,pct_in_split_current,split_total_current,set,count_matched,pct_in_split_matched,split_total_matched,delta_current_vs_baseline,delta_matched_vs_baseline,delta_pp_current_vs_baseline,delta_pp_matched_vs_baseline
baseline,train,0,1350,0.38860103626943004,3474,current,1712,0.4164436876672343,4111,matched,1501,0.3944809461235217,3805,362,151,2.7842651397804232,0.5879909854091647
baseline,train,A,1546,0.4450201496833621,3474,current,1886,0.45876915592313305,4111,matched,1810,0.4756898817345598,3805,340,264,1.3749006239770933,3.0669732051197665
baseline,train,B,420,0.12089810017271158,3474,current,353,0.0858671855996108,4111,matched,347,0.0911957950065703,3805,-67,-73,-3.5030914573100773,-2.970230516614128
baseline,train,C,158,0.04548071387449626,3474,current,160,0.038919970810021895,4111,matched,147,0.03863337713534823,3805,2,-11,-0.6560743064474364,-0.684733673914803
baseline,val,0,224,0.3855421686746988,581,current,162,0.36160714285714285,448,matched,249,0.39089481946624804,637,-62,25,-2.3935025817555964,0.5352650791549229
baseline,val,A,266,0.4578313253012048,581,current,229,0.5111607142857143,448,matched,311,0.48822605965463106,637,-37,45,5.3329388984509505,3.039473435342627
baseline,val,B,66,0.11359724612736662,581,current,38,0.08482142857142858,448,matched,54,0.0847723704866562,637,-28,-12,-2.877581755593804,-2.8824875640710417
baseline,val,C,25,0.043029259896729774,581,current,19,0.04241071428571429,448,matched,23,0.03610675039246468,637,-6,-2,-0.06185456110154863,-0.6922509504265095
baseline,test,0,232,0.3925549915397631,591,current,134,0.2523540489642185,531,matched,258,0.39814814814814814,648,-98,26,-14.020094257554462,0.5593156608385053
baseline,test,A,264,0.4467005076142132,591,current,315,0.5932203389830508,531,matched,309,0.47685185185185186,648,51,45,14.65198313688376,3.0151344237638655
baseline,test,B,74,0.12521150592216582,591,current,71,0.1337099811676083,531,matched,61,0.0941358024691358,648,-3,-13,0.8498475245442477,-3.1075703453030012
baseline,test,C,21,0.03553299492385787,591,current,11,0.02071563088512241,531,matched,20,0.030864197530864196,648,-10,-1,-1.4817364038735459,-0.46687973929936744
baseline,total,0,1806,0.38872148084373653,4646,current,2008,0.3944990176817289,5090,matched,2008,0.3944990176817289,5090,202,202,0.577753683799237,0.577753683799237
baseline,total,A,2076,0.44683598794662077,4646,current,2430,0.4774066797642436,5090,matched,2430,0.4774066797642436,5090,354,354,3.057069181762284,3.057069181762284
baseline,total,B,560,0.12053379250968575,4646,current,462,0.09076620825147348,5090,matched,462,0.09076620825147348,5090,-98,-98,-2.976758425821227,-2.976758425821227
baseline,total,C,204,0.04390873869995695,4646,current,190,0.03732809430255403,5090,matched,190,0.03732809430255403,5090,-14,-14,-0.6580644397402919,-0.6580644397402919
