set_baseline,split,group,count_baseline,pct_in_split_baseline,split_total_baseline,set_current,count_current,pct_in_split_current,split_total_current,set,count_matched,pct_in_split_matched,split_total_matched,delta_current_vs_baseline,delta_matched_vs_baseline,delta_pp_current_vs_baseline,delta_pp_matched_vs_baseline
baseline,train,0,1350,0.38860103626943004,3474,current,1501,0.378562421185372,3965,matched,1501,0.37846696923852746,3966,151,151,-1.0038615084058067,-1.0134067030902583
baseline,train,A,1546,0.4450201496833621,3474,current,1810,0.45649432534678436,3965,matched,1809,0.45612708018154313,3966,264,263,1.1474175663422237,1.1106930498181011
baseline,train,B,420,0.12089810017271158,3474,current,456,0.1150063051702396,3965,matched,451,0.11371659102370146,3966,36,31,-0.5891795002471972,-0.7181509149010112
baseline,train,C,158,0.04548071387449626,3474,current,198,0.049936948297604034,3965,matched,205,0.051689359556227936,3966,40,47,0.44562344231077744,0.6208645681731677
baseline,val,0,224,0.3855421686746988,581,current,249,0.3795731707317073,656,matched,249,0.3755656108597285,663,25,25,-0.5968997942991494,-0.997655781497031
baseline,val,A,266,0.4578313253012048,581,current,311,0.4740853658536585,656,matched,311,0.46907993966817496,663,45,45,1.625404055245372,1.1248614366970167
baseline,val,B,66,0.11359724612736662,581,current,66,0.10060975609756098,656,matched,71,0.10708898944193061,663,0,5,-1.2987490029805635,-0.6508256685436004
baseline,val,C,25,0.043029259896729774,581,current,30,0.04573170731707317,656,matched,32,0.048265460030165915,663,5,7,0.27024474203433957,0.5236200133436141
baseline,test,0,232,0.3925549915397631,591,current,258,0.3782991202346041,682,matched,258,0.3827893175074184,674,26,26,-1.4255871305158985,-0.9765674032344684
baseline,test,A,264,0.4467005076142132,591,current,309,0.4530791788856305,682,matched,310,0.4599406528189911,674,45,46,0.637867127141728,1.3240145204777898
baseline,test,B,74,0.12521150592216582,591,current,79,0.1158357771260997,682,matched,79,0.1172106824925816,674,5,5,-0.9375728796066116,-0.800082342958422
baseline,test,C,21,0.03553299492385787,591,current,36,0.05278592375366569,682,matched,27,0.040059347181008904,674,15,6,1.725292882980782,0.4526352257151034
baseline,total,0,1806,0.38872148084373653,4646,current,2008,0.37865359230624174,5303,matched,2008,0.37865359230624174,5303,202,202,-1.0067888537494796,-1.0067888537494796
baseline,total,A,2076,0.44683598794662077,4646,current,2430,0.45823118989251366,5303,matched,2430,0.45823118989251366,5303,354,354,1.1395201945892885,1.1395201945892885
baseline,total,B,560,0.12053379250968575,4646,current,601,0.11333207618329248,5303,matched,601,0.11333207618329248,5303,41,41,-0.720171632639327,-0.720171632639327
baseline,total,C,204,0.04390873869995695,4646,current,264,0.0497831416179521,5303,matched,264,0.0497831416179521,5303,60,60,0.5874402917995153,0.5874402917995153
