split,group,baseline,current,matched,delta_current_vs_baseline,delta_matched_vs_baseline,pp_current_vs_baseline,pp_matched_vs_baseline
train,total,3765,4111,4123,346,358,,
train,0,1686,1712,1708,26,22,-3.137,-3.355
train,A,1720,1886,1895,166,175,0.193,0.278
train,B,286,353,353,67,67,0.99,0.965
train,C,73,160,167,87,94,1.953,2.112
val,total,405,448,446,43,41,,
val,0,162,162,164,0,2,-3.839,-3.229
val,A,205,229,225,24,20,0.499,-0.169
val,B,29,38,36,9,7,1.322,0.911
val,C,9,19,21,10,12,2.019,2.486
test,total,476,531,521,55,45,,
test,0,134,134,136,0,2,-2.916,-2.048
test,A,282,315,310,33,28,0.078,0.257
test,B,59,71,73,12,14,0.976,1.617
test,C,1,11,2,10,1,1.861,0.174
