method,seed,split,mae,qwk,auc_ge1,auc_ge3,auc_ge5,checkpoint_path,train_script,eval_script,pred_csv,status,error
CORN,2026,test,0.3634453781512605,0.5745382716049383,0.8422798289255476,0.8776442307692307,0.9957894736842106,ckpt/stability/corn_head_icdas4_seed2026.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_test_icdas4_corn_seed2026.csv,ok,
CORN,2026,val,0.3506172839506173,0.594721370942523,0.8049585937103083,0.9021224723935178,0.9494949494949496,ckpt/stability/corn_head_icdas4_seed2026.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_val_icdas4_corn_seed2026.csv,ok,
CORN,2027,test,0.3424369747899159,0.5003015961395694,0.8579471065724011,0.8482371794871795,0.9978947368421052,ckpt/stability/corn_head_icdas4_seed2027.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_test_icdas4_corn_seed2027.csv,ok,
CORN,2027,val,0.3555555555555555,0.5399424651471565,0.8121983437484124,0.9268607486017496,0.9783950617283952,ckpt/stability/corn_head_icdas4_seed2027.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_val_icdas4_corn_seed2027.csv,ok,
CORN,2028,test,0.3004201680672269,0.559591721276696,0.8594963777603212,0.825360576923077,0.9936842105263158,ckpt/stability/corn_head_icdas4_seed2028.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_test_icdas4_corn_seed2028.csv,ok,
CORN,2028,val,0.3234567901234568,0.6100131308710144,0.8027739673830209,0.917539079305894,0.9938271604938272,ckpt/stability/corn_head_icdas4_seed2028.pt,train_corn_head_icdas4.py,eval_corn_on_roi_icdas4.py,pred_csv/stability/roi_val_icdas4_corn_seed2028.csv,ok,
Existing Ordinal (Ord2Seq),2026,test,0.3046218487394957,0.5780728587319244,0.8695339094003666,0.7505408653846154,0.9578947368421054,ckpt/stability/ord2seq_head_icdas4_seed2026.pt,train_ordinal_head_min.py,tools/eval_ordinal_on_roi_icdas4.py,pred_csv/stability/roi_test_icdas4_existing_ordinal_ord2seq_seed2026.csv,ok,
Existing Ordinal (Ord2Seq),2026,val,0.345679012345679,0.5538483838237427,0.7999288726312046,0.8041373870643912,0.93013468013468,ckpt/stability/ord2seq_head_icdas4_seed2026.pt,train_ordinal_head_min.py,tools/eval_ordinal_on_roi_icdas4.py,pred_csv/stability/roi_val_icdas4_existing_ordinal_ord2seq_seed2026.csv,ok,
Existing Ordinal (Ord2Seq),2027,test,0.3487394957983193,0.5943011554591329,0.8740726193593437,0.8006610576923077,0.9873684210526316,ckpt/stability/ord2seq_head_icdas4_seed2027.pt,train_ordinal_head_min.py,tools/eval_ordinal_on_roi_icdas4.py,pred_csv/stability/roi_test_icdas4_existing_ordinal_ord2seq_seed2027.csv,ok,
Existing Ordinal (Ord2Seq),2027,val,0.3530864197530864,0.628125274146855,0.8125285779606768,0.8302739136670013,0.9351851851851852,ckpt/stability/ord2seq_head_icdas4_seed2027.pt,train_ordinal_head_min.py,tools/eval_ordinal_on_roi_icdas4.py,pred_csv/stability/roi_val_icdas4_existing_ordinal_ord2seq_seed2027.csv,ok,
